artist,track,duration_ms,uri
ZAYN,No Candle No Light (feat. Nicki Minaj),195027,3g2738D4yQGvjZ4xupIr95
Elektra,I Don´t Do Boys,169459,7xXZ0SmSvLXi8v24lvy2Ys
Mark Ronson,Nothing Breaks Like a Heart (feat. Miley Cyrus),217467,27rdGxbavYJeBphck5MZAF
Becky G,LBD,203504,3c0uKKorZypy13KkO1u8AD
blackbear,Idfc,245172,6y6jbcPG4Yn3Du4moXaenr
Kelly Rowland,Kelly,181733,6z3i2GmNY6hfeD8ntbMlbx
Sizzy Rocket,Bestie,209893,7wLKwUWadXG9txpBecyYvQ
Holly Miranda,All I Want Is to Be Your Girl,155027,3guh1SDKtf0KhA8dIlUY9H
girl in red,i wanna be your girlfriend,204991,3h3pOvw6hjOvZxRUseB7h9
Blind Fury,I Want Her (feat. Georgia Harris),182753,09YXtRJuqm9H6cH7PhIls0
Jen Foster,She,250800,04cePI0HBcLfWsuTSDzhIF
Zolita,Explosion,204095,5YoBOfD0OlfkDnpWh3l6VD
The Blow,"""Come On Petunia""",226787,2nyuP0aVQ4mdGM5VE7AbsN
The Butchies,She's so Lovely,202293,4GP9tCJKmYD8maZqiFNdzp
Various Artists,I Think She Knows,184813,2IeOgn7m7SnlAE5fquVutV
King Princess,Talia,207720,53jbdPQBaH6WaQvW0zmGBs
Ani DiFranco,If It Isn't Her,237827,2nBB42lNmkh8qlzEUOmEwI
Luna Blake,Horizon,203880,1WVWOXTueYeeYfBiGMOIjW
Shura,What's It Gonna Be?,214754,1Jb8fejyUddXtl2JKAEFmQ
Taylor Swift,Look What You Made Me Do,211853,1P17dC1amhFzptugyAO7Il
Lost Kings,Look At Us Now (feat. Ally Brooke & A$AP Ferg),225687,2idTnDVMIFBqdoHodX8WQc
Imagine Dragons,Whatever It Takes,201240,6Qn5zhYkTa37e91HC1D7lb
Selena Gomez,Kill Em With Kindness,217907,7KxhSJOYiqCDclXDBNlFSZ
Zolita,Holy,182073,3gNyOIjOkBQAtq2pSHvzRW
Various Artists,I Need a Woman to Love,268840,0nv25WB0VNBeec3XLvp0fg
Various Artists,I Need a Woman to Love,268840,0nv25WB0VNBeec3XLvp0fg
