artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Dyke Drama,Crying In A Bathroom Stall,0.384,0.914,6,-4.7,1,0.0905,0.000547,0.00107,0.328,0.616,96.435,122321
Jinkx Monsoon,Just Me (The Gender Binary Blues),0.475,0.513,11,-6.197,1,0.0793,0.179,0,0.115,0.227,131.505,277720
Matt Fishel,Radio-Friendly Pop Song,0.432,0.773,2,-4.848,1,0.0843,0.00699,0,0.0851,0.22,163.726,229873
G.L.O.S.S.,Masculine Artifice,0.251,0.904,7,-6.659,1,0.0859,2.59E-06,0.783,0.101,0.522,84.713,81375
Against Me!,I Was a Teenage Anarchist,0.448,0.952,10,-3.477,1,0.0803,0.000603,0.00145,0.109,0.489,152.958,195160
Jake Edwards,Changes,0.514,0.259,4,-13.485,1,0.043,0.891,0.0237,0.147,0.519,107.123,151291
Katastrophe,Something Different,0.86,0.661,7,-9.844,1,0.21,0.0248,5.36E-05,0.0999,0.517,96.023,195907
Mallrat,I Don't Hate My Body I'm Just Afraid of It,0.421,0.554,4,-10.103,1,0.0569,0.121,0.00305,0.153,0.373,118.19,117010
Limp Wrist,Fake Fags,0.279,0.724,9,-6.737,1,0.0335,0.00112,0.238,0.253,0.644,90.968,97547
Pansy Division,Blame the Bible,0.467,0.85,11,-3.809,1,0.0602,0.00271,0,0.0556,0.394,137.998,218160
Art Project,Pretty boy,0.549,0.512,7,-13.31,1,0.0495,0.0262,1.75E-06,0.479,0.62,150.014,144139
Against Me!,Paralytic States,0.46,0.927,1,-3.667,0,0.0741,1.77E-05,9.63E-05,0.285,0.475,127.633,192587
Katastrophe,Man Enough,0.98,0.66,1,-10.264,1,0.274,0.114,8.12E-05,0.142,0.742,116.573,107120
Left at London,I Don't Trust U Anymore,0.773,0.41,4,-8.545,1,0.0418,0.291,0,0.38,0.453,111.916,151563
G.L.O.S.S.,Targets of Men Targets of Men,0.287,0.916,2,-6.537,1,0.0629,1.13E-06,0.89,0.328,0.36,95.99,113000
Bitch and Animal,Boy Girl Wonder,0.441,0.0516,9,-13.939,1,0.203,0.591,0.00121,0.117,0.259,76.66,201507
Skylar Kergil,Brothers,0.492,0.396,2,-8.507,1,0.0337,0.694,0,0.124,0.578,143.993,239747
Bratmobile,Gimme Brains,0.518,0.982,5,-3.194,1,0.0463,0.333,0,0.191,0.96,164.562,136880
Ryan Cassata,Bedroom Eyes,0.574,0.597,11,-5.246,1,0.0295,0.118,0,0.132,0.269,91.106,183613
Namoli Brennet,Boy in a Dress,0.451,0.166,9,-11.525,0,0.0304,0.873,0.00205,0.12,0.437,135.657,296973
Jonesin' and the Hurt,Genderless (Hidden),0.577,0.754,7,-4.223,1,0.036,0.101,3.91E-06,0.0914,0.371,140.05,231163
She/Her/hers,Family,0.384,0.418,4,-6.613,1,0.0317,0.259,0.000132,0.128,0.245,125.282,278750
Various Artists,Homo Christmas,0.519,0.727,7,-10.898,1,0.042,0.0864,0,0.322,0.822,153.286,155080
Athens Boys Choir,The Metrosexual Threw Off My Gaydar,0.832,0.861,4,-5.733,0,0.186,0.174,0,0.114,0.431,108.055,158827
Namoli Brennet,Thorn in Your Side,0.805,0.637,6,-9.841,0,0.117,0.363,0.000203,0.081,0.31,119.972,269000
PWR BTTM,I Wanna Boi,0.371,0.42,0,-6.224,1,0.0513,0.431,0,0.0597,0.564,83.452,122973
Skylar Kergil,On Birds and Bodies,0.505,0.338,2,-6.374,1,0.0389,0.831,0,0.0937,0.285,143.013,273831
Lip Shit Queers,Gender Queer,0.69,0.934,5,-6.187,1,0.115,0.0996,0.0118,0.367,0.239,140.033,277014
The Spook School,I Want to Kiss You,0.272,0.727,0,-6.174,1,0.0484,0.000379,0,0.0766,0.664,96.523,171107
Elmo Sexwhistle,Genderfuck!,0.498,0.974,10,-5.612,0,0.0591,0.000132,0.0424,0.233,0.525,136.995,249801
Athens Boys Choir,Tranny Got Pack (Revised),0.931,0.638,1,-13.084,1,0.476,0.264,0,0.19,0.806,128.112,106960
Good Asian Drivers,Third Gender,0.633,0.782,0,-6.329,1,0.259,0.155,0,0.214,0.599,133.239,212747
The Homophones,Mala Strana,0.524,0.723,2,-5.506,1,0.039,0.635,3.91E-06,0.25,0.799,112.286,136720
The Homophones,Mala Strana,0.524,0.723,2,-5.506,1,0.039,0.635,3.91E-06,0.25,0.799,112.286,136720
Namoli Brennet,Marjorie,0.589,0.612,4,-8.786,0,0.026,0.437,9.03E-05,0.286,0.481,96.038,175466
Dazey and the Scouts,Sweet Cis Teen,0.253,0.851,2,-5.867,1,0.0627,0.00197,0.282,0.708,0.298,126.487,273302
Shoplifting,Male Gynecology,0.545,0.65,2,-8.538,1,0.0431,0.0135,0.132,0.0824,0.652,152.516,188213
Gay Panic,Joy Boy,0.309,0.943,0,-6.314,1,0.142,0.0194,0.417,0.298,0.391,168.021,204307
Dog Park Dissidents,Trans Starship Feminist Bdsm Paradise,0.458,0.896,11,-10.924,0,0.124,0.313,0,0.87,0.511,105.012,181875
Angel Haze,Battle Cry,0.47,0.871,0,-6.662,0,0.299,0.0117,0,0.343,0.454,160.212,292098
Limp Wrist,Want Us Dead,0.317,0.849,4,-5.223,0,0.0469,0.000486,0.124,0.111,0.643,144.265,91280
Shawnee,Warrior Heart,0.477,0.692,0,-7.159,1,0.0461,0.279,0.00114,0.11,0.326,151.973,262387
Mother Mother,Body Of Years,0.722,0.637,2,-4.348,1,0.0339,0.0113,6.73E-05,0.0802,0.563,117.063,278400
Jay Boogie,Precious,0.749,0.647,9,-8.163,1,0.216,0.152,0.0283,0.123,0.423,115.01,252400
Poppy,Am I A Girl?,0.663,0.665,2,-6.717,0,0.044,0.00677,0.00195,0.111,0.464,122.052,217855
Rae Spoon,Do Whatever the Heck You Want,0.726,0.526,0,-5.586,1,0.0298,0.422,0,0.139,0.444,123.019,169253
Ren Stedman,Bigger balls than you,0.491,0.672,6,-14.192,0,0.0714,0.419,2.66E-05,0.274,0.773,133.429,247500
Ryan Cassata,Man in the Mirror,0.579,0.246,11,-7.49,1,0.0328,0.897,0,0.133,0.44,176.06,209133
Ankle Grease,Gender School Dropout,0.405,0.921,7,-7.268,1,0.0423,0.0613,0,0.353,0.669,156.248,123159
Dyke Drama,The Thing I Do Best,0.516,0.631,3,-7.339,0,0.0308,0.000106,0.0388,0.275,0.637,127.17,130598
Dog Park Dissidents,Rainbow Drones,0.569,0.877,6,-11.504,1,0.12,0.288,0,0.611,0.652,163.01,174000
Various Artists,Big Dick,0.264,0.78,3,-3.668,0,0.0931,0.156,4.50E-05,0.255,0.559,166.476,120733
Boyskout,Girl On Girl Action,0.34,0.762,8,-6.129,1,0.0413,0.00109,0.0769,0.225,0.621,159.862,240027
Sons of an Illustrious Father,U.S. Gay,0.195,0.706,4,-7.123,1,0.0605,0.0641,0,0.144,0.122,177.743,229432
Ashby and the Oceanns,Queer Kidz,0.79,0.714,9,-6.897,1,0.113,0.587,0,0.0944,0.641,129.919,192000
Murder Person for Hire,Chaotic Gender Neutral,0.714,0.796,11,-7.645,1,0.0888,0.256,0,0.128,0.671,111.45,132443
Franz Ferdinand,Michael,0.428,0.871,6,-6.662,0,0.0421,0.00548,0.000299,0.208,0.78,158.474,201307
Hunx & His Punx,Lovers Lane,0.467,0.703,11,-5.675,0,0.0621,0.329,1.24E-05,0.494,0.452,127.469,215133
Christine and the Queens,iT,0.568,0.573,0,-7.681,1,0.06,0.315,1.20E-05,0.086,0.655,179.929,218159
GRLwood,Vaccines Made Me Gay,0.421,0.932,11,-5.069,0,0.0542,0.00128,0.748,0.0831,0.687,164.414,144158
Super 8 Cum Shot,Everybody Loves A Muscle Boi,0.342,0.846,9,-5.573,1,0.0962,0.0274,0,0.473,0.764,166.556,146067
Boyskout,Back To Bed,0.589,0.791,8,-4.472,1,0.0274,0.0221,2.06E-05,0.139,0.735,148.059,160160
Team Dresch,Hate the Christian Right!,0.478,0.943,0,-8.89,1,0.0786,0.0143,0.227,0.127,0.303,142.534,155800
Joan Jett & The Blackhearts,Androgynous - Recorded at Spotify Studios NYC,0.733,0.754,2,-4.42,1,0.0306,0.0443,0,0.129,0.636,114.345,175080
Various Artists,Go Away - Live,0.231,0.806,10,-11.834,1,0.0629,0.0323,0.167,0.723,0.263,81.422,207107
Fagatron,Like a Prayer,0.346,0.592,9,-9.447,1,0.22,0.138,2.81E-06,0.261,0.502,179.859,135600
Eli Conley and Hip for Squares,Pinocchio,0.471,0.406,2,-10.77,1,0.0371,0.38,0,0.137,0.616,115.504,202733
Kiethevez,Always A Boy,0.555,0.604,4,-8.205,0,0.0307,0.00598,0.0517,0.0774,0.328,117.917,269707
Left at London,I Split My Ribs Open,0.608,0.743,5,-7.651,0,0.103,0.0809,0,0.111,0.702,155.876,216473
Gravy Train!!!!,Wutcha Wutcha Wutcha Doin' Tonite?,0.618,0.861,10,-4.359,0,0.0619,0.0278,0,0.206,0.952,166.356,171000
God Is My Co-Pilot,Steal Yr GF,0.559,0.924,11,-7.693,0,0.078,0.000142,0.000573,0.548,0.6,130.02,84347
Queen Zee,Sissy Fists,0.205,0.948,11,-4.232,1,0.113,2.23E-05,0.00647,0.0837,0.376,150.166,143853
Mouthfull,Ugly Face,0.294,0.692,9,-12.295,0,0.109,5.79E-06,0.774,0.109,0.873,173.219,155016
Asher Brown,Hey Little Abigail,0.559,0.37,1,-15.55,1,0.0389,0.494,1.50E-06,0.106,0.772,171.401,204843
Rae Spoon,I Hear Them Calling,0.58,0.602,9,-7.531,1,0.0316,0.0405,0.0412,0.115,0.328,125.006,241027
Gay For Johnny Depp,Hey F*cked Up! (Punk Rock Can't Exist In Countries With Good Social Services),0.316,0.928,2,-2.899,1,0.0985,0.000134,0.000252,0.348,0.589,117.382,133959
Ryan Cassata Music,The Trans Slam,0.696,0.183,1,-15.604,1,0.462,0.789,0,0.0707,0.619,102.995,64625
Boyinaband,Spectrum (feat. Cryaotic & Minx),0.703,0.783,9,-5.399,0,0.0674,0.0148,0,0.269,0.186,129.977,251077
Hunx & His Punx,Bad Boy,0.184,0.888,4,-4.836,0,0.0692,0.229,0.0172,0.399,0.341,179.814,161200
Propagandhi,Homophobes Are Just Pissed 'Cause They Can't Get Laid,0.39,0.944,7,-5.069,1,0.0464,5.13E-05,0.242,0.163,0.928,119.298,104587
Eli Conley,Strong and Tender,0.437,0.282,2,-11.087,1,0.0348,0.831,6.35E-05,0.0873,0.291,140.404,255587
Ren Stedman,What I Have Become,0.701,0.459,11,-14.567,1,0.0402,0.822,0.000114,0.12,0.481,95.043,194673
Aye Nako,Sissy,0.211,0.96,10,-2.704,1,0.0503,0.00403,0.883,0.047,0.146,167.698,111253
Qfolk,Nonbinary Fantasy Trash Babe,0.47,0.29,7,-11.064,1,0.0353,0.664,1.01E-05,0.147,0.633,146.628,206477
Asher Brown,What Makes a Man,0.53,0.342,4,-15.439,1,0.0292,0.617,0.00291,0.122,0.376,85.856,258283
The Hidden Cameras,He Is the Boss of Me,0.524,0.78,3,-7.946,1,0.0276,0.0591,3.92E-05,0.188,0.94,131.345,173000
The Shondes,Are You Ready,0.433,0.91,6,-5.196,0,0.0408,0.000321,0.00954,0.44,0.733,184.982,198600
God Is My Co-Pilot,QDA (Anthem),0.658,0.824,6,-10.039,0,0.0947,0.00202,0.0132,0.0743,0.74,139.898,170640
Frightwig,My Crotch Does Not Say Go,0.288,0.946,9,-3.088,0,0.067,2.02E-05,0.00236,0.336,0.341,155.976,198453
Hunx & His Punx,Everyone's A Pussy (Fuck You Dude),0.519,0.997,4,-4.547,1,0.22,0.175,0.994,0.061,0.0698,102.899,30600
The Hirs Collective,From My Mouth to Yours.,0.382,0.987,5,-3.756,0,0.0568,9.08E-06,0.159,0.473,0.0935,139.953,226969
Human Kitten,Space Princess,0.664,0.385,0,-9.434,1,0.125,0.569,0,0.317,0.565,75.771,98089
Fabulous Disaster,Gia,0.412,0.958,9,-4.3,1,0.0604,0.000913,0.00166,0.25,0.349,91.526,136133
Tuffragettes,Tuffragettes Against Terfs,0.518,0.973,6,-4.396,0,0.137,0.00775,0.000248,0.312,0.461,104.952,221714
Ezra Furman,Maraschino-Red Dress $8.99 at Goodwill,0.677,0.729,7,-11.5,1,0.147,0.191,1.31E-05,0.252,0.561,152.978,150000
Skinny Girl Diet,Dimethyltryptamine,0.0947,0.905,0,0.672,1,0.0435,0.000122,0.662,0.356,0.222,172.071,221940
Gaymous,(Let's Pretend We Don't Have) Feelings,0.728,0.612,11,-5.407,0,0.0344,0.000748,0.752,0.614,0.501,129.962,289988
Rae Spoon,Ghost of a Boy,0.45,0.396,5,-12.164,1,0.0461,0.831,0.784,0.111,0.249,169.92,212040
The Groans,Skin,0.32,0.975,2,-4.989,1,0.0959,9.47E-05,0.865,0.375,0.257,146.223,168594
Eli Conley,What I'm Worth,0.424,0.232,4,-9.34,1,0.0341,0.763,0.000138,0.108,0.161,137.513,245933
Evan Greer,Last iPhone,0.488,0.888,0,-6.99,1,0.0898,0.0115,0.00159,0.556,0.547,149.864,217325
The Butchies,Insult To Injury,0.213,0.766,2,-8.38,1,0.0489,0.386,0.358,0.212,0.527,172.33,253093
Ludlow,Trust No Cop,0.576,0.577,4,-7.223,0,0.0384,0.368,0,0.553,0.679,124.878,233093
Bitch and Animal,drag king bar,0.472,0.613,9,-7.273,1,0.322,0.941,7.53E-06,0.715,0.788,147.203,282933
Red Aunts,Rollerderby Queen,0.217,0.978,2,-5.956,1,0.147,9.51E-05,0.338,0.341,0.322,165.126,128000
The Magnetic Fields,Andrew in Drag,0.675,0.725,0,-6.281,1,0.0298,0.46,0.00091,0.333,0.449,119.973,132573
Riley!,Theydies and Gentlethem,0.456,0.357,7,-8.566,1,0.0634,0.416,1.97E-05,0.0776,0.137,191.085,166421
The Groans,Colors,0.377,0.834,6,-6.962,0,0.0537,0.159,3.07E-05,0.248,0.487,143.941,229389
Aye Nako,Nightcrawler,0.386,0.859,4,-3.029,1,0.0365,0.124,0.341,0.0554,0.407,94.776,201653
Le Tigre,Dyke March 2001,0.801,0.746,10,-8.065,0,0.0894,0.0143,0.512,0.0687,0.886,139.769,277800
Evan Greer,The Spring,0.661,0.593,7,-8.952,1,0.0291,0.00654,0.00029,0.193,0.193,137.023,265901
Ren Stedman,Problems,0.504,0.321,8,-18.034,1,0.0499,0.394,1.29E-06,0.143,0.509,134.77,251192
Fagatron,Anthem,0.509,0.619,2,-7.759,1,0.0664,0.0025,0.0127,0.102,0.414,101.341,86627
Gender Work,queer bodies in motion,0.298,0.346,6,-18.463,0,0.0415,0.0325,0.843,0.128,0.669,139.912,91018
Polythene Pam,Middle Age Transsexual Theme Song,0.541,0.854,9,-6.883,1,0.218,0.0125,5.26E-05,0.123,0.619,169.752,205571
Fagatron,Flip Flop,0.386,0.695,7,-9.14,1,0.158,0.000619,0.598,0.158,0.86,154.77,60813
Travis Love Benson,Universally Accepted,0.727,0.602,8,-10.167,1,0.0319,0.521,0,0.123,0.613,119.016,316997
The Hirs Collective,Yøu Can't Kill Us - Kilbourne Remix,0.544,0.979,10,-3.812,1,0.112,0.000947,0.000109,0.143,0.08,95.067,128015
Ashby and the Oceanns,Ode to Boy,0.747,0.489,11,-8.978,1,0.0527,0.769,0,0.0903,0.553,119.981,174000
Liam and the Bees,Genderbender,0.613,0.0862,5,-19.507,0,0.0598,0.836,5.14E-05,0.109,0.622,74.286,219063
Victor Quinlan,Not With Haste,0.524,0.432,3,-7.893,1,0.0251,0.847,0.00012,0.109,0.0874,62.304,314227
Ren Stedman,Bugs,0.452,0.142,9,-21.175,1,0.0445,0.737,0,0.168,0.574,95.869,159000
Joshua Klipp,Little Girl,0.68,0.858,1,-4.046,0,0.052,0.0416,0,0.0927,0.757,120.002,283387
The Breathing Light,Real Fun,0.194,0.919,7,-2.266,0,0.0751,0.0198,0.344,0.543,0.0398,124.646,340403
Pussyfoot,Animals,0.491,0.998,4,-1.283,0,0.295,0.00184,5.37E-06,0.0913,0.153,154.917,308782
Onsind,You Should Probably Keep It All In,0.456,0.403,6,-8.234,1,0.0355,0.161,0,0.492,0.512,78.157,232082
Shitting Glitter,Socially Activist,0.591,0.829,9,-9.771,1,0.0814,0.197,0.0392,0.0239,0.795,173.997,224747
The Homobiles,Homo Safe,0.696,0.688,6,-4.026,0,0.0606,0.197,0,0.116,0.866,130.87,178000
Harley Poe,Transvestities Can Be Cannibals Too,0.499,0.614,7,-8.175,1,0.0621,0.151,3.52E-06,0.0555,0.605,89.038,276973
The Hidden Cameras,Steal All You Can Motherfucker,0.528,0.803,4,-8.958,1,0.0327,0.029,0,0.0857,0.79,133.211,155867
Just Fern,Daughter - Basement Mix,0.342,0.855,4,-6.922,1,0.181,0.351,0.000349,0.286,0.591,169.847,145058
Niko,Monogamy,0.735,0.29,1,-13.216,1,0.307,0.14,0.000145,0.118,0.218,145.941,174315
Itsbambii,My LGBT Story,0.772,0.282,0,-14.702,0,0.122,0.878,2.74E-05,0.0929,0.607,82.961,161960
PUSSYLIQUOR,Hurtz,0.298,0.909,9,-5.966,0,0.0515,8.85E-05,4.10E-06,0.0881,0.699,158.667,198893
Limp Wrist,They Tell Me,0.228,0.959,4,-5.29,1,0.119,9.27E-05,0.0849,0.338,0.375,178.618,135839
Mal Blum,New Year's Eve,0.516,0.199,7,-9.541,1,0.0402,0.874,4.93E-06,0.108,0.575,105.622,394507
Shamir,Room,0.727,0.729,9,-6.152,1,0.0342,0.161,0.000455,0.15,0.807,125.932,156190
Jesediah,Stove On,0.633,0.704,1,-7.609,1,0.173,0.166,0,0.43,0.262,93.309,204820
Joe Stevens,Last Man Standing,0.619,0.504,2,-9.71,1,0.0354,0.495,0.000509,0.0977,0.507,134.113,291493
Wolf Girl,Middlesexy,0.209,0.433,3,-13.839,1,0.0367,0.000203,0.693,0.131,0.187,79.799,175496
Various Artists,Songs,0.565,0.199,2,-15.387,1,0.0283,0.938,0.0598,0.136,0.367,83.115,237897
Butch Baby,TERF Bangs,0.451,0.859,7,-6.632,1,0.0658,0.000158,0.00413,0.55,0.425,172.864,166484
Mary Wander,Gender Ender,0.552,0.102,10,-16.61,1,0.0578,0.884,0,0.262,0.486,121.489,151377
Jesediah,Lonzo,0.773,0.651,7,-8.513,1,0.0458,0.0365,0,0.302,0.361,99.968,206401
Jayne County,Man Enough to Be a Woman,0.44,0.441,1,-20.544,0,0.061,0.0021,0.000178,0.789,0.432,143.267,259960
Vivek Shraya,Part-Time Woman,0.398,0.506,9,-7.974,1,0.0316,0.22,0.000224,0.186,0.557,97.243,126427
Vivek Shraya,Part-Time Woman,0.398,0.506,9,-7.974,1,0.0316,0.22,0.000224,0.186,0.557,97.243,126427
Cadallaca,The Trouble With Public Places,0.308,0.885,0,-4.093,1,0.0727,0.3,4.29E-06,0.322,0.762,176.952,178893
Cadallaca,The Trouble With Public Places,0.308,0.885,0,-4.093,1,0.0727,0.3,4.29E-06,0.322,0.762,176.952,178893
Partyline,Girls Like Me,0.452,0.998,11,-5.367,0,0.0685,0.0421,9.74E-05,0.342,0.113,104.325,131400
Partyline,Girls Like Me,0.452,0.998,11,-5.367,0,0.0685,0.0421,9.74E-05,0.342,0.113,104.325,131400
Le Tigre,TKO,0.694,0.914,11,-2.366,0,0.0328,0.0338,0.000198,0.537,0.829,138.596,204267
Evelyn Ida Morris,The Body Appears,0.437,0.0785,0,-19.348,1,0.0328,0.985,0.0499,0.0894,0.0608,73.758,329907
Evelyn Ida Morris,The Body Appears,0.437,0.0785,0,-19.348,1,0.0328,0.985,0.0499,0.0894,0.0608,73.758,329907
Excuse 17,This Is Not Your Wedding Song,0.16,0.843,4,-7.092,1,0.0603,0.0481,0.0189,0.108,0.217,188.4,267733
Excuse 17,This Is Not Your Wedding Song,0.16,0.843,4,-7.092,1,0.0603,0.0481,0.0189,0.108,0.217,188.4,267733
Queen Zee,I Hate Your New Boyfriend,0.285,0.708,1,-7.258,0,0.0683,0.000494,0.0117,0.0951,0.111,144.957,310333
Topic,Perfect,0.657,0.66,1,-5.129,0,0.0983,0.0877,0,0.133,0.421,155.926,205120
Metro Station,She Likes Girls,0.534,0.905,0,-3.52,1,0.134,0.00198,0,0.0519,0.576,159.936,237866
Catey Shaw,Night Go Slow,0.635,0.44,2,-10.119,1,0.0294,0.629,0.000287,0.101,0.284,125.088,199842
Zedd,Daisy,0.586,0.598,2,-5.774,1,0.0359,0.124,0,0.151,0.201,112.067,174413
Mal Blum,Better Than I Was,0.413,0.532,0,-10.173,1,0.111,0.376,0,0.112,0.813,198.922,204747
Jesediah,G.O.A.T.,0.614,0.479,0,-7.389,1,0.31,0.351,0,0.0988,0.936,149.981,219892
Jayne County,If You Don't Want To Fuck (F*** Off),0.405,0.779,4,-10.733,1,0.299,0.00528,9.04E-06,0.327,0.66,123.41,240907
Jayne County,If You Don't Want To Fuck (F*** Off),0.405,0.779,4,-10.733,1,0.299,0.00528,9.04E-06,0.327,0.66,123.41,240907
Dazey and the Scouts,Wet,0.49,0.934,9,-5.06,0,0.05,0.0206,7.24E-06,0.755,0.62,95.839,170931
Seth Bogart,Eating Makeup (feat. Kathleen Hanna),0.654,0.86,0,-5.446,1,0.0438,0.066,0.00115,0.287,0.965,131.975,180027
Various Artists,Only Straight Girls Wear Dresses,0.626,0.732,6,-9.832,1,0.056,0.382,0.000745,0.196,0.933,135.233,284267
Lipstick Homicide,Rockerchick,0.36,0.875,9,-6.17,1,0.0478,5.06E-05,0.00128,0.0932,0.79,98.314,126760
imbi the girl,V.I.P.,0.622,0.512,1,-6.507,0,0.51,0.297,0,0.181,0.339,120.257,238881
Calamity Jane,Miss Hell,0.167,0.912,5,-3.042,1,0.113,0.418,0.0357,0.529,0.0776,148.733,182320
Left at London,Waiting on a Ghost,0.501,0.0819,10,-9.293,1,0.0381,0.974,1.47E-05,0.118,0.305,73.066,175765
Excuse 17,Watchmaker,0.238,0.989,9,-4.278,1,0.218,0.0425,0.0129,0.0931,0.379,172.314,188227
Ah-Mer-Ah-Su,Klonopin (Orchestral Version),0.268,0.25,3,-9.787,0,0.0322,0.769,0.000275,0.112,0.234,169.937,238241
Aye Nako,Particle Mace,0.216,0.953,9,-3.123,0,0.093,0.00472,0.198,0.156,0.315,124.498,207467
Aye Nako,Particle Mace,0.216,0.953,9,-3.123,0,0.093,0.00472,0.198,0.156,0.315,124.498,207467
Laura Jane Grace & the Devouring Mothers,Apocalypse Now (& Later),0.67,0.969,7,-4.584,1,0.0327,0.128,0,0.196,0.947,125.018,135040
Pigeon Pit,Nights Like These,0.634,0.328,2,-13.939,1,0.132,0.868,0,0.119,0.88,91.772,121852
Big Joanie,Fall Asleep,0.541,0.97,9,-5.255,1,0.165,0.0873,0,0.323,0.305,137.055,181277
Peaches,Boys Wanna Be Her,0.775,0.513,2,-3.863,1,0.098,0.159,1.44E-06,0.0815,0.711,139.036,235573
Ezra Furman,Driving Down to L.A,0.681,0.522,7,-14.568,1,0.0441,0.0255,0.00294,0.382,0.367,125.97,198000
CJ Run,Spaghetti,0.719,0.555,7,-9.157,1,0.183,0.77,1.40E-05,0.223,0.814,88.251,185015
Tunde Olaniran,Namesake,0.605,0.859,7,-2.715,0,0.169,0.528,0,0.155,0.619,155.98,275695
In Love With a Ghost,Am I a Girl? Am I a Boy? Do I Really Care?,0.928,0.433,0,-12.604,1,0.0638,0.543,0.323,0.0904,0.757,104.981,59481
"Bad Cop, Bad Cop",Womanarchist,0.482,0.944,2,-5.111,1,0.0632,1.39E-05,2.29E-06,0.0578,0.496,107.496,172400
ANOHNI,Why Did You Separate Me from the Earth?,0.614,0.623,7,-6.305,1,0.031,0.0446,1.91E-05,0.402,0.213,131.897,216000
Kim Petras,Slow It Down,0.677,0.649,0,-6.32,0,0.0324,0.0288,0.000214,0.112,0.218,120.016,224988
Le Tigre,Deceptacon,0.603,0.864,4,-3.341,0,0.0668,0.055,0.00493,0.0986,0.616,160.488,184627
Placebo,Nancy Boy,0.391,0.958,10,-5.494,1,0.0832,0.000181,0.000899,0.122,0.326,89.88,210933
Quay Dash,Queen Of This Shit,0.884,0.424,9,-11.622,1,0.348,0.0258,8.54E-05,0.3,0.597,119.988,186070
SOPHIE,Immaterial,0.776,0.717,2,-4.897,1,0.0836,0.115,0.00755,0.327,0.828,139.995,232807
Ruth B.,Lost Boy,0.71,0.0565,7,-15.099,1,0.0534,0.965,0,0.0889,0.348,123.994,275280
The Killers,Spaceman,0.525,0.904,4,-5.488,1,0.0532,0.00257,0.000648,0.12,0.803,151.988,284547
Buzzcocks,Ever Fallen in Love (With Someone You Shouldn't've?) - 1996 Remastered Version,0.266,0.831,4,-9.07,1,0.0453,0.000862,0,0.0555,0.778,175.514,163693
The Cure,Boys Don't Cry,0.462,0.836,11,-5.766,0,0.0621,0.00517,0,0.18,0.671,168.766,155973
Logic,1-800-273-8255,0.62,0.574,5,-7.788,0,0.0479,0.569,0,0.19,0.357,100.023,250173
The Total Bettys,No Kings,0.292,0.644,10,-6.377,1,0.0364,0.77,1.18E-06,0.192,0.454,96.886,197720
Maddie Ross,Loners,0.651,0.51,4,-5.467,0,0.0534,0.0868,0,0.151,0.717,173.917,173470
Vivek Shraya,Girl It's Your Time,0.495,0.455,1,-9.226,1,0.0354,0.471,5.13E-05,0.33,0.134,94.943,140536
Maris,Boys,0.64,0.79,1,-5.52,1,0.0396,0.0447,0.0736,0.151,0.493,115.007,179814
Lipstick Homicide,What’s Expected of You,0.472,0.857,7,-5.962,1,0.0405,0.00024,1.04E-05,0.285,0.642,91.367,143880
Partner,"The ""Ellen"" Page",0.452,0.667,9,-6.269,1,0.0779,0.0133,0,0.196,0.485,122.933,102051
Torrey Mercer,Boys / Girls,0.738,0.606,0,-10.254,1,0.0374,0.0451,2.12E-05,0.289,0.751,90.038,199139
Frankie Simone,Queer,0.677,0.73,2,-5.046,1,0.0326,0.00268,0.00468,0.283,0.33,95.055,187157
Maddie Ross,Hometown,0.708,0.714,7,-7.661,1,0.055,0.000917,0.000125,0.103,0.677,149.991,192200
Sizzy Rocket,Thrills,0.727,0.723,5,-4.781,1,0.0988,0.00416,0.000166,0.121,0.733,90.013,197320
Sapphic Lasers,Dyke Bars Never Last,0.721,0.691,11,-10.285,0,0.0344,0.363,0.177,0.284,0.668,145.964,323652
Nicolette Forte,Hold Your Hand,0.844,0.524,0,-7.263,1,0.223,0.591,1.15E-06,0.0716,0.889,90.078,217000
be steadwell,New Girl,0.559,0.324,0,-12.196,0,0.055,0.767,0.0915,0.0998,0.0946,121.927,236812
Naz & Ella,Love Is Love,0.715,0.159,3,-9.636,1,0.0332,0.633,0,0.111,0.211,115.891,189336
Zolita,Fight Like a Girl,0.509,0.842,10,-4.611,0,0.102,0.205,0,0.185,0.356,149.843,220000
KAYE,Cheshire Kitten,0.77,0.717,9,-7.963,1,0.0358,0.29,0,0.652,0.928,130.021,178539
Track IX,Lipstick,0.684,0.791,8,-6.431,1,0.278,0.00189,1.91E-05,0.327,0.646,104.917,185500
Celine Neon,Boy I'll Be,0.619,0.675,10,-5.654,1,0.0397,0.000323,0.00266,0.265,0.413,120.023,289323
be steadwell,Love Song for a Dom Stripper,0.931,0.278,7,-16.976,0,0.16,0.494,0.00157,0.114,0.563,120.028,278040
Various Artists,Scotty Doesn't Know,0.544,0.762,4,-4.995,1,0.0511,0.000174,8.38E-06,0.126,0.765,157.901,189921
Shawnee,Mirror Me,0.561,0.865,7,-4.055,1,0.0367,0.17,0,0.0782,0.693,97.04,233216
Dump Him,Pretty Like a Boy,0.218,0.759,9,-10.553,1,0.0847,0.0137,0.0138,0.337,0.522,187.487,90000
It Was Romance,Hooking up With Girls,0.273,0.68,5,-7.078,1,0.0319,0.193,0.0579,0.175,0.137,110.021,280514
